Distribution Center,Product Offering,Generation,SKU,ASP Group,Week,Forecasted Demand,Customer Orders
GAMMA,F,2,SKU-F-2,7,4,31146,30892
GAMMA,G,2,SKU-G-2,10,4,637,318
GAMMA,H,2,SKU-H-2,9,4,35637,5255
GAMMA,I,2,SKU-I-2,10,4,12325,4459
GAMMA,J,2,SKU-J-2,11,4,1019,318
GAMMA,K,2,SKU-K-2,11,4,39809,21019
GAMMA,L,2,SKU-L-2,12,4,10796,18631
GAMMA,M,2,SKU-M-2,13,4,8503,8439
GAMMA,N,2,SKU-N-2,14,4,7516,5573
GAMMA,Q,2,SKU-Q-2,14,4,6879,7006
GAMMA,S,2,SKU-S-2,15,4,16720,6051
DELTA,A,2,SKU-A-2,1,4,28917,6131
DELTA,B,2,SKU-B-2,1,4,105096,22611
DELTA,C,1,SKU-C-1,3,4,31720,5414
DELTA,C,2,SKU-C-2,4,4,290446,40924
DELTA,E,2,SKU-E-2,7,4,8583,2866
DELTA,F,1,SKU-F-1,6,4,15223,1592
DELTA,F,2,SKU-F-2,7,4,108487,14331
DELTA,G,2,SKU-G-2,10,4,2707,1433
DELTA,H,1,SKU-H-1,9,4,1178,318
DELTA,H,2,SKU-H-2,9,4,171656,30096
DELTA,I,2,SKU-I-2,10,4,39172,9395
DELTA,K,2,SKU-K-2,11,4,121051,16401
DELTA,L,1,SKU-L-1,12,4,2930,239
DELTA,L,2,SKU-L-2,12,4,42659,8917
DELTA,M,1,SKU-M-1,13,4,987,1592
DELTA,M,2,SKU-M-2,13,4,22357,4299
DELTA,N,2,SKU-N-2,14,4,21178,3981
DELTA,O,1,SKU-O-1,14,4,1449,159
DELTA,O,2,SKU-O-2,14,4,112834,36624
DELTA,Q,1,SKU-Q-1,14,4,3121,239
DELTA,Q,2,SKU-Q-2,14,4,58854,13774
DELTA,S,2,SKU-S-2,15,4,39076,14650
EPSILON,A,2,SKU-A-2,1,4,99363,9236
EPSILON,B,1,SKU-B-1,1,4,1433,478
EPSILON,B,2,SKU-B-2,1,4,502707,67994
EPSILON,C,1,SKU-C-1,3,4,127197,9713
EPSILON,C,2,SKU-C-2,4,4,647675,67834
EPSILON,E,2,SKU-E-2,7,4,46146,10510
EPSILON,F,1,SKU-F-1,6,4,43376,3025
EPSILON,F,2,SKU-F-2,7,4,310828,31529
EPSILON,G,2,SKU-G-2,10,4,6051,2866
EPSILON,H,1,SKU-H-1,9,4,24411,2548
EPSILON,H,2,SKU-H-2,9,4,605255,74682
EPSILON,I,2,SKU-I-2,10,4,165191,23408
EPSILON,J,2,SKU-J-2,11,4,4411,1752
EPSILON,K,2,SKU-K-2,11,4,445796,52548
EPSILON,L,2,SKU-L-2,12,4,355318,59395
EPSILON,M,1,SKU-M-1,13,4,7707,1433
EPSILON,M,2,SKU-M-2,13,4,212006,20382
EPSILON,N,2,SKU-N-2,14,4,81210,12102
EPSILON,O,1,SKU-O-1,14,4,9299,1115
EPSILON,O,2,SKU-O-2,14,4,360191,43153
EPSILON,Q,1,SKU-Q-1,14,4,7006,318
EPSILON,Q,2,SKU-Q-2,14,4,242293,39650
EPSILON,S,2,SKU-S-2,15,4,325287,63057
ALPHA,A,2,SKU-A-2,1,5,7325,11306
ALPHA,B,2,SKU-B-2,1,5,39172,17516
ALPHA,C,1,SKU-C-1,3,5,4459,1752
ALPHA,C,2,SKU-C-2,4,5,46178,37580
ALPHA,F,1,SKU-F-1,6,5,16242,159
ALPHA,F,2,SKU-F-2,7,5,6369,24841
ALPHA,H,2,SKU-H-2,9,5,11146,16242
ALPHA,I,2,SKU-I-2,10,5,1433,2707
ALPHA,J,2,SKU-J-2,11,5,159,159
ALPHA,K,1,SKU-K-1,10,5,6529,1433
ALPHA,K,2,SKU-K-2,11,5,7325,4459
ALPHA,L,2,SKU-L-2,12,5,637,18790
ALPHA,M,1,SKU-M-1,13,5,0,159
ALPHA,M,2,SKU-M-2,13,5,1752,4299
ALPHA,N,2,SKU-N-2,14,5,796,2389
ALPHA,O,1,SKU-O-1,14,5,4936,478
ALPHA,O,2,SKU-O-2,14,5,6369,1911
ALPHA,Q,1,SKU-Q-1,14,5,0,159
ALPHA,Q,2,SKU-Q-2,14,5,5096,10669
ALPHA,S,2,SKU-S-2,15,5,2866,7166
BETA,B,2,SKU-B-2,1,5,318,637
BETA,C,2,SKU-C-2,4,5,478,318
BETA,E,2,SKU-E-2,7,5,159,955
BETA,I,2,SKU-I-2,10,5,318,955
BETA,K,2,SKU-K-2,11,5,478,318
BETA,M,2,SKU-M-2,13,5,159,159
BETA,O,2,SKU-O-2,14,5,637,637
BETA,Q,2,SKU-Q-2,14,5,159,478
BETA,S,2,SKU-S-2,15,5,318,1433
GAMMA,A,2,SKU-A-2,1,5,26975,37420
GAMMA,B,2,SKU-B-2,1,5,20318,73408
GAMMA,C,1,SKU-C-1,3,5,5191,1274
GAMMA,C,2,SKU-C-2,4,5,98694,106529
GAMMA,E,2,SKU-E-2,7,5,5860,2548
GAMMA,F,1,SKU-F-1,6,5,1545,637
GAMMA,F,2,SKU-F-2,7,5,35541,47771
GAMMA,G,2,SKU-G-2,10,5,557,159
GAMMA,H,1,SKU-H-1,9,5,175,318
